词牌,数量
国门东・好女儿,1
九回肠・好女儿,1
月先圆・好女儿,1
绮筵张・好女儿,1
舞迎春・迎春乐,1
城里钟・菩萨蛮,1
望西飞・清商怨,1
东阳叹・清商怨,1
要销凝・清商怨,1
想车音・兀令,1
荆溪咏・渔家傲,1
吹柳絮・瑞鹧鸪,1
江如练・蝶恋花,1
宴齐云・南歌子,1
醉琼枝・定风波,1
□□□・更漏子,1
弄珠英・蓦山溪,1
梦相亲・玉楼春,1
罗敷歌・采桑子,6
侍香金童,5
玉京秋,2
蕙清风,1
海月谣,2
忆仙姿・如梦令,15
菱花怨,1
望扬州・长相思慢,1
定情曲,1
拥鼻吟・吴音子,1
摊破木兰花・木兰花,3
玉连环・一落索,1
金凤钩,3
芳洲泊・踏莎行,1
江南曲・踏莎行,3
楼下柳・天香,1
吴门柳・渔家傲,2
雁後归・临江仙,3
鸳鸯梦・临江仙,1
念彩云・夜游宫,1
凤凰台上忆吹箫,8
过涧歇,1
消息・永遇乐,1
梁州令叠韵・梁州令,1
夜合花,10
古阳关・阳关引,2
惜分飞,24
胜胜慢・声声慢,14
紫玉箫,1
斗百草,2
调笑・调笑令,43
罗敷媚・采桑子,2
木兰花减字・减字木兰花,5
瑞龙吟,11
锁窗寒・琐寒窗,7
渡江云,15
荔枝香近・荔枝香,8
还京乐,6
扫地花・扫地游,1
玲珑四犯,15
丹凤吟,5
浪涛沙・浪淘沙,1
忆旧游,24
蕙兰芳引,3
归去难・促拍满路花,1
绮寮怨,7
拜星月・拜星月慢,2
绕佛阁,5
月中行・月宫春,3
浣沙溪・浣溪沙,9
意难忘,13
红罗袄,2
凤来朝,3
玉团儿,5
粉蝶儿慢,1
南浦,9
青房并蒂莲,2
一剪梅・一翦梅,13
鹊桥仙令・鹊桥仙,1
双头莲,4
大有,2
关河令・清商怨,3
万里春,1
浣溪沙慢,2
虞美人令・虞美人,1
惜馀春慢・选冠子,4
传言玉女,12
上林春慢,1
摊声浣溪沙・浣溪沙,3
八节长欢,2
上林春令・一落索,2
散馀霞,1
最高楼,44
粉蝶儿,8
八宝妆,3
转调满庭芳・满庭芳,2
满庭芳慢・满庭芳,1
黄金缕・蝶恋花,1
满庭霜・满庭芳,10
玉漏迟,19
寻梅,2
不见・如梦令,2
菩萨・菩萨蛮,2
转调蝶恋花・蝶恋花,2
柳摇金・思归乐,1
忆君王・忆王孙,1
红楼慢,1
早梅芳近・早梅芳,4
北山移文哨遍・哨遍,1
徵招调中腔・徵招,1
破子清平乐・清平乐,1
忆桃源,2
瑶台月,3
雪夜渔舟,1
春从天上来,3
惜时芳・思归乐,1
度清霄,6
竹马儿,1
锦缠绊・锦缠道,1
向湖边,2
雪月交光・醉蓬莱,1
望明河,1
梦横塘,1
相思会・千年调,1
忆瑶姬,3
雪明鹊夜慢・雪明鹊夜,1
凤皇枝令・凤凰枝令,1
明月照高楼慢・明月照高楼,1
尉迟杯慢・尉迟杯,1
钿带长中腔,1
春草碧・番枪子,1
三台,1
恋芳春慢,1
卓牌儿・卓牌子,2
快活年近拍,1
芰荷香,7
别瑶姬慢・忆瑶姬,1
探春・探春慢,2
惜黄花慢,4
江神子慢・江城子慢,1
转调二郎神・二郎神,7
寰海清,1
聒龙谣,4
苏武慢,5
踏歌,3
促拍丑奴儿,4
醉思仙,5
恋绣衾,33
沙塞子,6
双,1
西湖曲・玉楼春,1
风蝶令・南歌子,1
洛妃怨・昭君怨,1
春晓曲,1
柳枝・杨柳枝,2
西地锦,6
潇湘夜雨・满庭芳,5
醉落托,1
十样花,1
西江月慢,2
思佳客,33
恋香衾,1
惜分钗・撷芳词,2
庆清朝,16
宴山亭・燕山亭,3
玉连环・解连环,4
饮马歌,1
长寿仙促拍,2
玉蹀躞・解蹀躞,2
蓦溪山・蓦山溪,1
转调定风波・定风波,1
糖多令・唐多令,18
梦游仙・戚氏,4
醉高楼,1
太常引,20
八归,3
西子妆慢・西子妆,2
梦芙蓉,1
高山流水,1
霜花腴,1
澡兰香,1
玉京谣,1
探芳新,1
凤池吟,1
暗香,12
暗香疏影,1
双双燕,2
秋思,1
独脚令・忆王孙,2
探春令,23
月上海棠,7
燕山亭,5
金莲绕凤楼,1
苏武令,1
忆真妃・相见欢,1
孤雁儿・御街行,3
怨王孙・忆王孙,6
添字丑奴儿・采桑子,1
秦刷子,1
石州词・石州慢,2
明月逐人来,3
人月圆令・人月园,1
五福降中天,2
撒金钱,1
摊破诉衷情・诉衷情,2
远朝归,2
凤凰台忆吹箫・凤凰台上忆吹箫,2
孤馆深沈,1
减兰十梅・减字木兰花,10
遂宁好,1
江梅引・江城梅花引,5
飞雪满群山,2
丑奴儿慢・采桑子慢,5
极相思,10
西楼子・相见欢,2
上阳春・蓦山溪,3
镇西・小镇西犯,1
愁倚阑・春光好,8
恨来迟,1
倦寻芳,13
孟家蝉,1
伊川令・伊州令,1
期夜月,1
三段子・宝鼎现,1
昆明池・金明池,1
庆双椿・浣溪沙,1
法驾导引,17
喜迁莺令・喜迁莺,3
喜迁莺慢・喜迁莺,2
恨欢迟・恨来迟,1
情久长,2
握金钗,2
江城子慢,1
百宜娇・眉妩,1
倾杯令・杯倾乐,1
倾杯令・倾杯乐,1
扑蝴蝶近・扑蝴蝶,2
东风第一枝,15
忆东坡,2
薄媚,11
梦兰堂,1
扫花游・扫地游,21
阳春,1
於中好,3
瑞云浓,1
锯解令,1
卓牌子慢・卓牌子,1
倒垂柳,2
琐窗寒,13
双雁儿,3
天下乐,1
玉抱肚,2
朝天子,2
曲江秋,4
法曲散序・法曲,1
法曲歌头・法曲,1
法曲遍第一・法曲,1
法曲遍第二・法曲,1
法曲遍第三・法曲,1
法曲第四・法曲,1
法曲入破第一・法曲,1
法曲入破第二・法曲,1
法曲入破第三・法曲,1
法曲入破第四・法曲,1
法曲第五煞・法曲,1
大椿,1
保寿乐,1
国香,4
安平乐・安平乐慢,2
赏松菊,1
月上海棠慢・月上海棠,1
松梢月,1
隔帘花,1
忆吹箫・凤凰台上忆吹箫,1
十六贤,1
杏花天慢,1
蜀溪春,1
倚阑人,1
夹竹桃花,1
峭寒轻,1
二色莲,1
八音谐,1
清风满桂楼,1
雁侵云慢,1
锦标归,1
索酒,1
六花飞,1
四槛花,1
胜胜令,1
“僮至”念奴娇,1
采莲延遍・采莲令,1
采莲摇捱遍・采莲令,1
采莲入破・采莲令,1
采莲衮遍・采莲令,1
采莲实催・采莲令,1
采莲衮・采莲令,1
采莲歇拍・采莲令,1
采莲煞衮・采莲令,1
采莲舞,8
太清舞,7
柘枝舞,3
花舞,15
剑舞,1
渔夫舞,8
迎仙客,1
教池回,1
扑胡蝶・扑蝴蝶,1
大圣乐令・玉团儿,1
桂华明・四犯令,1
出塞・谒金门,1
曲游春,4
舞杨花,1
丑奴儿令・采桑子,2
诉衷情令,2
菩萨蛮令・菩萨蛮,2
玉楼春令・玉楼春,1
忆少年令・忆少年,1
瑞鹤仙令・临江仙,2
金菊对芙蓉,5
荷叶铺水面,1
钗头凤・撷坊词,1
绣带儿・好女儿,1
壶中天慢・念奴娇,2
应天长令・应天长,1
渔家傲引・渔家傲,12
奉礼歌,7
降仙台,3
浣溪纱・浣溪沙,5
月华清,3
遥天奉翠华引,1
凤皇台上忆吹箫・凤凰台上忆吹箫,4
四犯令,1
相思引・琴调,2
五彩结同心,2
月中桂,1
蕊珠闲,1
思佳客令・思佳客,1
转调踏莎行・踏莎行,2
卓牌子近,1
剑器近,1
倾杯近,1
山花子,4
归字谣,2
青山远,1
东坡引,11
亭前柳,4
十二时慢,1
惜芳菲・惜分飞,1
桂飘香,1
使牛子,1
太平欢・念奴娇,1
归国谣・归国遥,2
赤壁词・念奴娇,1
钗头凤・撷芳词,3
秋波媚・眼儿媚,2
真珠帘,16
望梅,3
绣停针,1
隔浦莲近拍,4
上西楼・相见欢,1
太平时・添声杨柳枝,1
月照梨花・河传,3
大圣乐,7
宜男草,4
三登乐,9
步虚词・西江月,7
红窗怨,2
凤时春,1
泛兰舟,2
无月不登楼,1
别素质・忆瑶姬,1
野庵曲,1
醉乡曲,1
归去来兮引・归去来兮,1
四和香・四犯令,1
梅弄影,1
锦帐春,3
似娘儿,1
有有令,1
别怨,1
簇水,1
柳长春・踏莎行,1
辊绣球,1
祝英台令,1
山鬼谣・摸鱼儿,1
一枝花・促拍满路花,1
王孙信・寻芳草,1
河渎神,1
添字浣溪沙・山花子,8
□□□,1
重叠金・菩萨蛮,6
摊破江城子・江城梅花引,1
四代好・宴清都,1
折红英・撷芳词,1
上平西・金人捧露盘,2
瑶阶草,1
雪狮儿,2
小桃红・连理枝,3
芭蕉雨,1
红娘子・连理枝,1
酷相思,1
望秦川・南歌子,3
摊破南乡子,1
入塞,1
番枪子,1
且坐令,1
霜天晓月,1
赤枣子,3
海棠春,7
孤鸾,6
锦缠道,2
厅前柳,2
双头莲令,1
伊州三台,1
瑞云浓慢,1
彩凤飞,1
暮花天・花发沁园春,1
秋兰香,1
玉人歌,1
唐多令,20
辘轳金井・四犯翦梅花,1
四字令・醉太平,5
四犯翦梅花,1
竹香子,1
西吴曲,1
冉冉云,2
小重山令・小重山,2
莺声绕红楼,1
鬲溪梅令,1
醉吟商小品・小品,1
玉梅令,1
霓裳中序第一,10
庆宫春・高阳台,6
一萼红,17
眉妩,2
清波引,2
琵琶仙・自度曲,1
探春慢,8
扬州慢,6
长亭怨慢,2
淡黄柳,3
石湖仙,1
疏影,19
角招,2
徵招,9
秋宵吟,1
凄凉犯,4
翠楼吟,1
湘月・念奴娇,4
越女镜心・法曲献仙音,1
乳燕飞・贺新郎,15
月宫春,1
明月棹孤舟・夜行船,2
绕池游慢,1
莺啼序,15
秋日田父辞,2
鹧鸪词・瑞鹧鸪,1
大江西上曲・念奴娇,1
绮罗香,14
阳春曲・阳春,1
海棠春令・海棠春,2
三姝媚,12
寿楼春,1
探芳信,9
玉簟凉,1
湘江静,1
过龙门・浪淘沙令,2
月当厅,1
换巢鸾凤,1
龙吟曲・水龙吟,4
醉公子,2
步月,2
锦园春三犯・锦园春,2
夜飞鹊慢,1
醉梅花・鹧鸪天,1
小阑干・少年游,1
倚阑令・春光好,1
月城春・四犯翦梅花,1
水调歌,8
昼锦堂,9
醉思凡・醉太平,1
庄椿岁・水龙吟,1
疏帘淡月・桂枝香,1
貂裘换酒・贺新郎,1
淮甸春・念奴娇,1
如此江山・齐天乐,1
钓船笛・好事近,1
广寒秋・鹊桥仙,1
月当窗・霜天晓角,1
山渐青・长相思,1
碧云深・忆秦娥,1
南浦月・点绛唇,1
沙头雨・点绛唇,1
花自落・谒金门,1
垂杨碧・谒金门,1
阑干万里心・忆王孙,1
杏梁燕・解连环,1
比梅・如梦令,1
月上瓜洲・相见欢,1
月底修箫谱・祝英台近,1
一丝风・诉衷情令,1
忆萝月・清平乐,1
倚秋千・好事近,1
断肠声・南歌子,1
好溪山,1
山庄劝酒,1
画娥眉・忆王孙,1
珍珠帘・真珠帘,4
秋夜雨,11
百字谣・念奴娇,12
买陂塘・摸鱼儿,4
清夜游,1
春归怨,1
六桥行,2
万年歌,1
龙山会,4
芙蓉月,1
忆旧游慢,2
燕春台,2
双瑞莲,1
凯歌,1
飞雪满堆山・飞雪满群山,1
金缕曲・贺新郎,30
安庆摸・摸鱼儿,1
金缕歌・贺新郎,2
风瀑竹,1
湘春夜月,1
百岁令,1
金明池,2
恋绣衣,1
城头月,3
三台春曲,2
满宫春,1
荷叶杯,1
后庭花,1
渡江云三犯・渡江云,1
拜星月慢,4
隔浦莲近・隔浦莲近拍,4
垂丝钓近・垂丝钓,1
浪淘沙慢,3
西平乐慢・西平乐,2
惜秋华,5
十二郎・二郎神,1
蹋莎行・踏莎行,2
梦行云,1
瑶华,1
虞美人影・桃源忆故人,1
花上月令,1
采桑子慢,1
古香慢,1
吴山青・长相思,2
晴偏好,1
秋蕊香令,1
探芳讯,2
章台月・一斛珠,1
选官子・选冠子,1
大酺,6
春风袅娜,1
春云怨,1
云仙引,1
木兰香・减字木兰花,1
阳关三叠,1
惜花春起早,1
乐语,21
被花恼,1
梅子黄时雨,2
宝鼎见・宝鼎现,1
明月引・江城梅花引,3
三犯渡江云・渡江云,2
西湖明月引・江城梅花引,2
垂杨,1
大江东去・念奴娇,2
长相思慢,1
芳草,1
惜馀妍・惜余妍,1
摘红英,2
西窗烛,1
春声碎,1
鸣梭,1
伊州三台令・伊州三台,1
斗鸡回,1
雨淋铃,1
归国遥,1
归朝歌,1
忆江南,1
归平遥・归国遥,1
市桥柳,1
楚宫春・楚宫春慢,1
露华,4
绣鸾凤花犯・花犯,1
瑶花慢,2
采绿吟,1
绿盖舞风轻・绿尽舞风轻,1
月边娇,1
倚风娇近,1
闻鹊喜,1
国香慢・国香,1
献仙音・法曲献仙音,1
乃词,1
解佩环・疏影,1
玉女迎春慢・玉女迎春,1
个侬,1
湘灵瑟,2
大江乘・念奴娇,1
凤鸾双舞,1
长亭怨・长亭怨慢,5
潇湘神,10
唱金缕・贺新郎,1
玲珑玉,1
紫萸香慢,1
夏日燕黉堂,1
小秦王,2
八拍蛮,1
